label,text,sentiment_score
Sadness,i be feel all melancholy,0
Sadness,i feel like regretful soul,0
Sadness,i lose my power feel lethargic headachie tire mentally blah you get picture,0
Sadness,i feel completely listless run on auto,0
Sadness,i feel like im horrible person sometimes im not even good mother for simple fact happen i dont know what do,0
Sadness,i spend rest of morning feeling discourage disappointed,0
Sadness,i cry about feel shitty i cry because dad make fun of me for be sick haha i kid you not have happen many time all in good fun i cry because thats what i do in all adverse situation,0
Sadness,i feel there isnt much meat but yoshidas perspective grows ever tragic,0
Sadness,i feel when i have sit alone,0
Sadness,i feel guilty i dont have need constantly check in on her,0
Sadness,im feel lonely while scott at work,0
Sadness,i still feel like tragic waste,0
Sadness,i feel my bone silently ache from knuckle spread my uneven nail in oscillate pattern,0
Sadness,i feel kinda idiotic because i talk bass player shahzad ismaily when i get two shirt i didnt say anything him,0
Sadness,i almost fall asleep but i feel so awkward sleep beside her,0
Sadness,i feel like i want make something but house so messy i be still finish up christmas gift knitting,0
Sadness,i tend have discomforting feeling or maybe get disturbed but sense of emotion only play out way book be interpret,0
Sadness,i be speak lot of myself because well i feel very discontent where i be at in life,0
Sadness,i also feel embarrassed because i can consciously look at my life see all good thing in everyone else see but when depression cycle hit even know those good thing exist simply isn t enough,0
Sadness,i shouldnt feel gloomy,0
Sadness,i be feel miserable sick but hop with amount of sleep i be get i havent have much choice i have have zero energy cold med vitamins lot of fluid i have high hope feel well tomorrow,0
Sadness,i hear be owner who feel victimize by their association association attorney or property manager,0
Sadness,i still feel horrible,0
Sadness,i be feel so remorseful now,0
Sadness,i feel like i do last time i have break up with lousy boyfriend in so im out of practice like junk,0
Sadness,im feeling stupid,0
Sadness,ive be think about because recently theres be time ive be overwhelm with gratitude point of tear other time im think about because im im feel so incredibly ungrateful maybe also point of tear wonder why,0
Sadness,im feeling punish for have love previous book,0
Sadness,i hate feel discontent but it what im feel right now im tire of hiding,0
Sadness,i just feel so listless from gloominess of all,0
Sadness,i feel low lose lonely on grey day,0
Sadness,i feel terrible for mr,0
Sadness,i feel drain of energy,0
Sadness,i feel sorry for john boehner his copious tear run over blur his spray tan face until it same color a his nicotine stain finger all while eric cantor wait push him out of speakership,0
Sadness,i feel hopeless i realize i have meet none of those goal,0
Sadness,i be still feel little remorseful we didnt just break down buy,0
Sadness,i use feel reject like be my fault a i be overweight,0
Sadness,i just sit there feel so empty lose scar,0
Sadness,i will stop feeling heartbroken when i see my unfollows,0
Sadness,i be no fan of current president i be conservative make me feel unwelcome,0
Sadness,i look normal even when i feel terrible really hard hear someone say oh you look so good,0
Sadness,i remember feel so inadequate a i stand there they thank me because of your purchase,0
Sadness,i feel so humiliate at fail achieve what i should have,0
Sadness,i feel like i have start take more seriously but i m already exhaust,0
Sadness,i use feel guilty about large portion of my time income devote various craft hobby but eventually i realise i be stress bust it cheap than therapy,0
Sadness,i cant be counselor for you in way i feel i should i be too damage myself,0
Sadness,i be feel quite groggy in day before race gland in my neck be sore swollen i could tell my body be fight bug of some kind,0
