,Review
0,device doesnt need any review a there be ton online but a per my experience it all rounder champ i buy gb variant all good till now just bite spectacular about software update if apple deliberately try downgrade experience camera quality camera quality i felt iphone get well result not sure why although both device have same camera spec apple do something fishy battery decent usually last for day
1,my first iphone always feels good hold masterpiece look premium not just because of it branding have everything which make feel premium however despite all look finish transition from android apple not very smooth you may constantly lack certain feature can make life easy i be use samsung s10 lite before still have phone with me put out feature be miss by me 1 forward anything in whatsapp forward anything in whatsapp from iphone take bit more step a compare what be offer in android make entire process slow for android user2 app switcher apple could have easily make app switcher easy with just light swipe up instead they make with long press swipe up why man why you don t have any feature for swipe up just make easy launch 3 andorid dialer always miss every android have basic feature where you can search contact directly from phone dialer here dialer use for dial number only will not suggest you similar contact from contact or last dial really bad if you have dial number directly use dialer if you have dial someone from recent call log shift if you dial someone from contact shift man all can be do under one button under dialer android user will miss very badly 4 send multiple file in whatsapp if you want add more than file directly from whatsapp you have do twice in android one can simple start select from whatspp itself can select a many file a they want can send in single click here for send multiple file you have go gallery or folder select all file first share through whatsapp 5 no swipe base shift from chat status call in android whatsapp you can switch between call chat status by just swipe here you have press button of each 6 contact view contact list sort method still out of my mind man make easy for example if one of your contact first name or middle name or last name any one of thing start with alphabet than will be show on top of list apple pls adopt any one method or at least allow u customise 7 many apps in android be much more refined than it version on apple 8 for those who have use samsung pay samsung pay be one of best app for make upi or card payment just swipe up from home screen of samsung phone only s series app open for payment i miss here very badly 9 lack of dual messenger facility you can t use two different whatsapp number here in same phone a support in all android right now these be issue i face right now apart from phone good sound loud clear feel premium in hand touch very good face id work like charm gesture control customization really good you can customize lot of thing
2,‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎
3,i be move from android io for first time be marvelous experience use iphone i regret now for be android user first of all speed what they have mention a lighten speed yes i have experience lighten speed anything u share in whatsapp or any app u open open up in flash when i put phone on charge sometimes over heat phone but now i have identify reason for too do not use phone when on charge leave untouched so won t over heat no sort of pause aur hang issue at all
4,here s my verdict after io 1 2 update horrible battery life i end up charge twice day camera app freeze in when portrait mode open phone much more laggy since io update ig reel play in background at time even when look at another reel my battery health have drop from since io update what make battery life worse be magsafe charger if you don t have yet don t buy a slow charger for overnight charge generates lot of heat when charge i end up buy aluminium stand so heat would dissipate through stand if company force you buy several other product for customer use for it intend purpose then please choose another device westerner don t have worry about a they have apple care club into their purchase in form of emi plus they have theft protection with their apple care which not available for iphones sell in india do not buy iphone if it just status symbol for you buy if suit your need
5,hat off amazon for good packaging iphone be most loved smartphone of i be save money from last month until great india festival phone be intact brand new everything be perfect write review after use for month battery backup really awesome camera exceptionalthe build quality brand value remarkable buy for ₹46k
6,display 10 peak brightness crazybattery last day without any issuesit take about minute juice up from till no issue with io 0 3 everything smooth there be lot of customization which i like mostsound crystal clear loudcamera kind of average for photos night photography really sucksbut in case of video phone beyond comparisonthere no competition for iphone in term of videographyin hand feel very nice especially designfeels very premium in handi get for around k in bbdfor k there no good phone than thisthe ultimate allrounderi m highly satisfied with purchase
7,design premium camera best display wow good battery life powerful processor super smooth io just wow i be android user shift io smooth super phone
8,iphone without doubt game changer a avid apple user i recently upgrade incredible device have exceed my already high expectation in every way here s why i be thoroughly impressed with iphone performance a15 bionic chip powerhouse make everything i do on my phone feel lightning fast seamless whether i m game streaming or multitasking iphone handle all effortlessly display super retina xdr display work of art color be vivid brightness exceptional contrast stun whether i m watch movie browse web or scroll through social medium visual experience second none camera camera system on iphone nothing short of amazing capture photo videos with outstanding clarity detail night mode have be game changer for low light photography cinematic mode for videos add whole new dimension my creative endeavor battery life apple have improve battery life on iphone show i can go through entire day of heavy usage without need reach for charger battery management feature be also impressive ensure i get most out of every charge ios iphone run on io user experience unmatched interface intuitive app store offer vast ecosystem of apps enhance device s capability design iphone boast sleek premium design s durable feel great in hand ceramic shield front cover offer extra protection which welcome addition 5g capability iphone g ready which mean i can experience lightning fast data speed low latency make future proof ready for late advancement in mobile technology privacy security apple s commitment user privacy security commendable with feature like face id enhance data protection i feel confident my personal information in safe hand in summary iphone stun upgrade deliver on apple s legacy of innovation excellence offer exceptional performance breathtaking display camera system redefines mobile photography videography design exude luxury device testament apple s commitment push boundary of what smartphone can be if you re look for best in business iphone i wholeheartedly recommend anyone seek top tier mobile experience s worth every penny more
9,be my transition from android io be honest i have love iphone ui smooth transition be nice battery also last for day almost i recommend everyone go for only thing which bother me doesn t have hz display but you will not feel frequently really smooth
